timestamp,model,pretrained,epoch,lr,batch_size,max_length,bleu,chrf,train_loss,sample_input,sample_ref,sample_out
2025-04-11 05:32:58,transformer,t5-small,1,0.01,32,50,0.1438,18.3201,3.266079235076904,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","despite, hesnolt enough."
2025-04-11 05:32:58,transformer,t5-small,1,0.01,32,50,0.1438,18.3201,3.266079235076904,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","her forehead and forehead; armed and reverted, making a war against her hair."
2025-04-11 05:32:58,transformer,t5-small,1,0.01,32,50,0.1438,18.3201,3.266079235076904,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have any music that might not be heard, tot again."
2025-04-11 05:32:58,transformer,t5-small,1,0.01,32,50,0.1438,18.3201,3.266079235076904,"harry the fourth,or fifth?","harry the fourth, or fifth?","harry, a fourth, or a fifth?"
2025-04-11 05:32:58,transformer,t5-small,1,0.01,32,50,0.1438,18.3201,3.266079235076904,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","my honest friend, i prithee but i wake up next morning."
2025-04-11 05:35:19,transformer,t5-small,2,0.01,32,50,0.1682,30.0185,2.4385391426086427,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","the mans, neg, aint."
2025-04-11 05:35:19,transformer,t5-small,2,0.01,32,50,0.1682,30.0185,2.4385391426086427,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","her smashed and reverted, making her swung hair."
2025-04-11 05:35:19,transformer,t5-small,2,0.01,32,50,0.1682,30.0185,2.4385391426086427,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have any music you dont know, youll miss it again."
2025-04-11 05:35:19,transformer,t5-small,2,0.01,32,50,0.1682,30.0185,2.4385391426086427,"harry the fourth,or fifth?","harry the fourth, or fifth?","harry, the fourth, or fifth?"
2025-04-11 05:35:19,transformer,t5-small,2,0.01,32,50,0.1682,30.0185,2.4385391426086427,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","my friend, i priee down but i catch up next morning."
2025-04-11 05:37:43,transformer,t5-small,3,0.01,32,50,0.1363,14.6795,1.9686524438858033,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","yo, the dude is, notwithstanding."
2025-04-11 05:37:43,transformer,t5-small,3,0.01,32,50,0.1363,14.6795,1.9686524438858033,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","in her forehead, armed and reverted, making her a battle for her hair."
2025-04-11 05:37:43,transformer,t5-small,3,0.01,32,50,0.1363,14.6795,1.9686524438858033,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have any music that aint heard, please again."
2025-04-11 05:37:43,transformer,t5-small,3,0.01,32,50,0.1363,14.6795,1.9686524438858033,"harry the fourth,or fifth?","harry the fourth, or fifth?","harry, the fourth or fifth?"
2025-04-11 05:37:43,transformer,t5-small,3,0.01,32,50,0.1363,14.6795,1.9686524438858033,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","yo my honest friend, hey, i wanna be back next morning."
2025-04-11 13:50:32,transformer,t5-small,1,0.001,32,50,0.1461,17.0192,3.645486660003662,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","the man is, in spite of the fact, insufficient."
2025-04-11 13:50:32,transformer,t5-small,1,0.001,32,50,0.1461,17.0192,3.645486660003662,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","armed and reverted, making war against her hair."
2025-04-11 13:50:32,transformer,t5-small,1,0.001,32,50,0.1461,17.0192,3.645486660003662,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have any music that may not be heard, try again."
2025-04-11 13:50:32,transformer,t5-small,1,0.001,32,50,0.1461,17.0192,3.645486660003662,"harry the fourth,or fifth?","harry the fourth, or fifth?","a fourth, or fifth?"
2025-04-11 13:50:32,transformer,t5-small,1,0.001,32,50,0.1461,17.0192,3.645486660003662,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","a good friend, i prithee but remorty to me next morning."
2025-04-11 13:53:19,transformer,t5-small,2,0.001,32,50,0.1564,17.0192,2.9453677463531496,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","the man is, in spite, aint enough."
2025-04-11 13:53:19,transformer,t5-small,2,0.001,32,50,0.1564,17.0192,2.9453677463531496,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","in her forehead; armed and reverted, making war against her hair."
2025-04-11 13:53:19,transformer,t5-small,2,0.001,32,50,0.1564,17.0192,2.9453677463531496,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have a music that may not be heard, tot again."
2025-04-11 13:53:19,transformer,t5-small,2,0.001,32,50,0.1564,17.0192,2.9453677463531496,"harry the fourth,or fifth?","harry the fourth, or fifth?","harry the fourth, or fifth?"
2025-04-11 13:53:19,transformer,t5-small,2,0.001,32,50,0.1564,17.0192,2.9453677463531496,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","my honest friend, i prithee, but repair to me next morning."
2025-04-11 13:55:39,transformer,t5-small,3,0.001,32,50,0.1723,17.0192,2.5696023654937745,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.","the man is, in spite, insufficient."
2025-04-11 13:55:39,transformer,t5-small,3,0.001,32,50,0.1723,17.0192,2.5696023654937745,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.","in her forehead, armed and reverted, making a war against her hair."
2025-04-11 13:55:39,transformer,t5-small,3,0.001,32,50,0.1723,17.0192,2.5696023654937745,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.","if you have a music that isnt heard, tuck again."
